,hidden_layers,dropout,decay,nesterov,momentum,batch_size,lr
0,[128],0.2,0.0,0.0,0.7,16.0,0.001
1,[256],0.2,0.0,0.0,0.7,16.0,0.001
2,"[128, 128]",0.2,0.0,0.0,0.7,16.0,0.001
3,"[128, 256]",0.2,0.0,0.0,0.7,16.0,0.001
4,"[256, 128]",0.2,0.0,0.0,0.7,16.0,0.001
5,"[256, 256]",0.2,0.0,0.0,0.7,16.0,0.001
6,[128],0.35,0.0,0.0,0.7,16.0,0.001
7,[256],0.35,0.0,0.0,0.7,16.0,0.001
8,"[128, 128]",0.35,0.0,0.0,0.7,16.0,0.001
9,"[128, 256]",0.35,0.0,0.0,0.7,16.0,0.001
10,"[256, 128]",0.35,0.0,0.0,0.7,16.0,0.001
11,"[256, 256]",0.35,0.0,0.0,0.7,16.0,0.001
12,[128],0.5,0.0,0.0,0.7,16.0,0.001
13,[256],0.5,0.0,0.0,0.7,16.0,0.001
14,"[128, 128]",0.5,0.0,0.0,0.7,16.0,0.001
15,"[128, 256]",0.5,0.0,0.0,0.7,16.0,0.001
16,"[256, 128]",0.5,0.0,0.0,0.7,16.0,0.001
17,"[256, 256]",0.5,0.0,0.0,0.7,16.0,0.001
