,dropout,hidden_layers,lr,batch_size,decay,nesterov,momentum
0,0.2,[128],0.001,16.0,0.0,0.0,0.7
1,0.2,[256],0.001,16.0,0.0,0.0,0.7
2,0.2,"[128, 128]",0.001,16.0,0.0,0.0,0.7
3,0.2,"[128, 256]",0.001,16.0,0.0,0.0,0.7
4,0.2,"[256, 128]",0.001,16.0,0.0,0.0,0.7
5,0.2,"[256, 256]",0.001,16.0,0.0,0.0,0.7
6,0.35,[128],0.001,16.0,0.0,0.0,0.7
7,0.35,[256],0.001,16.0,0.0,0.0,0.7
8,0.35,"[128, 128]",0.001,16.0,0.0,0.0,0.7
9,0.35,"[128, 256]",0.001,16.0,0.0,0.0,0.7
10,0.35,"[256, 128]",0.001,16.0,0.0,0.0,0.7
11,0.35,"[256, 256]",0.001,16.0,0.0,0.0,0.7
12,0.5,[128],0.001,16.0,0.0,0.0,0.7
13,0.5,[256],0.001,16.0,0.0,0.0,0.7
14,0.5,"[128, 128]",0.001,16.0,0.0,0.0,0.7
15,0.5,"[128, 256]",0.001,16.0,0.0,0.0,0.7
16,0.5,"[256, 128]",0.001,16.0,0.0,0.0,0.7
17,0.5,"[256, 256]",0.001,16.0,0.0,0.0,0.7
